"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"37",19681,0.1143033,0.03470267,0.3670374,0.301,0.69435,0.04227979,0.8002008,0.00406,0.0724,0.4371859,0.589861,0.005195193,0
"38",56028,0.3172313,0.04006235,0.7755308,0.867,0.8668423,0.3647668,0.2409639,0,0.269,0.4633166,0.5931737,0.03909161,1
"39",35872,0.199715,0.09005966,0.7310415,0.605,0.8034985,0.04715026,0.0007901606,0.904,0.0958,0.4321608,0.5294863,0.002304709,1
"40",142233,0.7563396,0.07729819,0.7148635,0.427,0.7449721,0.07233161,0.3403614,0,0.105,0.5437186,0.3731271,0.004105528,0
"41",104599,0.5641155,0.06079453,0.793731,0.367,0.8031711,0.03761658,0.1134538,0.0633,0.0902,0.4703518,0.3812733,0.002697471,0
"42",16246,0.0942843,0.02242503,0.7613751,0.24,0.7468585,0.04746114,0.9066265,0.000451,0.109,0.1839196,0.3303962,0.008779667,0
"43",117439,0.6305984,0.04798662,0.5197169,0.698,0.8132737,0.02994819,0.00376506,0.887,0.123,0.6221106,0.675992,0.002699333,0
"44",178231,0.9445016,0.06163957,0.8058645,0.469,0.7779458,0.2051813,0.3433735,0,0.097,0.4110553,0.636019,0.01451769,1
"45",17370,0.1021602,0.06402535,0.4044489,0.518,0.784104,0.03585492,0.3343373,0.00546,0.13,0.0958794,0.3231607,0.002445071,0
"46",7767,0.04789232,0.08662278,0.4499494,0.768,0.7976677,0.03595855,0.012751,2.58e-06,0.0925,0.321608,0.4778297,0.001825925,0
"47",85667,0.4707055,0.07871409,0.7199191,0.625,0.8130242,0.07823834,0.6686747,0.531,0.0839,0.8894472,0.7225228,0.004362761,1
"48",23315,0.1372834,0.07528889,0.6764408,0.324,0.817374,0.03512953,0.4497992,0.00311,0.0956,0.1869347,0.5169555,0.002045873,0
"49",60458,0.3344979,0.05381095,0.7512639,0.812,0.8857067,0.04051813,0.2791165,0.000225,0.081,0.6753769,0.4532596,0.003269992,1
"50",5216,0.02552026,0.03484254,0.6936299,0.937,0.8957002,0.161658,0.1686747,0.000501,0.153,0.2743719,0.5082289,0.01978829,1
"51",80918,0.4488479,0.07377984,0.3690597,0.613,0.8635683,0.03274611,0.2138554,0,0.116,0.2130653,0.6108176,0.001945112,0
"52",69049,0.3811237,0.0732404,0.6390293,0.76,0.8270244,0.1409326,0.05381526,0.0235,0.197,0.3447236,0.6776399,0.008431498,1
"53",97755,0.5317015,0.01620946,0.2669363,0.459,0.595538,0.5119171,0.0001054217,0.000131,0.766,0.09929648,0.4031153,0.1272635,0
"54",110500,0.5907835,0.05998369,0.6107179,0.707,0.8413208,0.05430052,0.09427711,1.52e-06,0.0449,0.09236181,0.5122321,0.003944919,1
"55",174416,0.923817,0.0522499,0.7290192,0.919,0.8520002,0.09098446,0.02670683,0.001,0.348,0.678392,0.4913899,0.007554667,1
"56",101747,0.5528431,0.06373978,0.9120324,0.551,0.8377194,0.07284974,0.1506024,1.95e-06,0.0459,0.7798995,0.4840231,0.0049895,1
"57",99390,0.5434596,0.04900017,0.661274,0.428,0.7754358,0.1409326,0.4899598,0,0.149,0.4894472,0.6351209,0.01244962,0
"58",12912,0.08063727,0.03488786,0.3245703,0.893,0.85437,0.06704663,0.7048193,1.77e-06,0.233,0.8713568,0.7810759,0.008196943,1
"59",46679,0.2723001,0.04258773,0.7087968,0.717,0.8673412,0.05803109,0.01817269,0.00599,0.0713,0.6693467,0.465981,0.005865807,1
"60",132977,0.7085552,0.0331266,0.1830131,0.409,0.7690593,0.04673575,0.007590361,0.0038,0.0986,0.03648241,0.4017555,0.006001388,0
"61",173162,0.9161066,0.09805678,0.1880688,0.679,0.8125097,0.04569948,0.007590361,0.884,0.128,0.2281407,0.3679885,0.002055015,0
"62",80493,0.4472361,0.06793299,0.8068756,0.599,0.8555393,0.02911917,0.2168675,0.242,0.0544,0.7798995,0.4109481,0.001874565,0
"63",92386,0.5008671,0.05574655,0.4175935,0.594,0.8136634,0.0384456,0.4809237,1.32e-05,0.31,0.8974874,0.3606344,0.002998485,1
"64",35463,0.1971461,0.0765235,0.8776542,0.579,0.7015684,0.253886,0.02399598,0,0.336,0.6874372,0.4241948,0.01455294,1
"65",34098,0.1910872,0.04407148,0.7492417,0.69,0.8325434,0.04549223,0.1084337,0.00581,0.0987,0.8944724,0.4956981,0.004449845,1
"66",155265,0.8238228,0.04743689,0.7462083,0.714,0.8538087,0.2580311,0.1576305,0,0.31,0.7437186,0.40259,0.02351655,1
"67",170857,0.9052408,0.08655243,0.6723964,0.864,0.881622,0.1523316,0.05351406,0.0295,0.389,0.279397,0.7328973,0.00774134,1
"68",156170,0.828223,0.03921203,0.5197169,0.309,0.7105017,0.02787565,0.8875502,0.491,0.112,0.5055276,0.3891315,0.00304924,0
"69",1616,0.00747654136204018,0.0346376019313215,0.72901921132457,0.593,0.805899410682548,0.35440414507772,0.0955823293172691,0,0.491,0.673366834170854,0.349912521869533,0.0436255686626595,1
"70",176989,0.9380289,0.06573072,0.4064712,0.696,0.8606062,0.04642487,0.04779116,0,0.628,0.2281407,0.7631906,0.003086,1
